5 8 10
########################################
#                                      #
#                                      #
#                                      #
#                                      #
###                                    #
# #                                    #
#   #                                  #
#         #######                      #
#   #                                  #
#   #                                  #
#   #   P M    G                       #
#      #####   G                       #
#                                      #
#                            ####      #
#                                      #
#                  ####                #
#                                      #
#                                      #
#                                      #
#            #######                   #
#                                      #
#                        #####         #
#                                      #
#                                      #
#                                   E  #
#                                      #
#                                      #
#                                      #
########################################
